title,author,length
He Who Fights with Monsters 10,"Shirtaloon,Travis Deverell",Length: 25 hrs and 18 mins
Is Your Tongue Killing You?,Joy Moeller,Length: 7 hrs and 47 mins
Path of the Berserker 2: A Daopocalypse Progression Fantasy,Rick Scott,Length: 23 hrs and 6 mins
101 Essays That Will Change the Way You Think,Brianna Wiest,Length: 10 hrs and 45 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Storm in Her Heart,KC Luck,Length: 8 hrs and 11 mins
Exodus: The Archimedes Engine,Peter F. Hamilton,Length: 15 hrs
A Court of Thorns and Roses,Sarah J. Maas,Length: 16 hrs and 7 mins
Hábitos atómicos (Español neutro),James Clear,Length: 9 hrs and 1 min
Dead and Buried,John Corwin,Length: 12 hrs and 19 mins
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Length: 9 hrs and 2 mins
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,Length: 18 hrs and 32 mins
The Perfect Son,Freida McFadden,Length: 7 hrs and 58 mins
Butcher & Blackbird,Brynne Weaver,Length: 8 hrs and 43 mins
Forbidden in the Falls,Elle Gray,Length: 7 hrs and 24 mins
The Oldest Starfighter,Jamie McFarlane,Length: 10 hrs and 50 mins
The David Wolf Mystery Thriller Series: Books 1-4,Jeff Carson,Length: 28 hrs and 16 mins
Not Without Affection,Caroline Cartier,Length: 7 hrs and 1 min
The Path of Ascension: Books 1-3.5,C. Mantis,Length: 70 hrs and 2 mins
Rome Travel Guide,Clementine Thorne,Length: 2 hrs and 58 mins
"The Silencer Series Box Set, Books 17-20",Mike Ryan,Length: 20 hrs and 22 mins
How to Talk to Anyone,Leil Lowndes,Length: 8 hrs and 59 mins
The Third Perspective,Africa Brooke,Length: 7 hrs and 55 mins
[Psychokinetic] Eyeball Pulling 2,FreeID,Length: 18 hrs and 18 mins
Egyptian Mythology Collection,E. A Wallis Budge,Length: 20 hrs and 17 mins
A Court of Silver Flames,Sarah J. Maas,Length: 26 hrs and 5 mins
"Overlord, Vol. 13","Kugane Maruyama,so-bin - illustrator,Emily Balistrieri - translator",Length: 10 hrs
Career Confidence,Robynn Storey,Length: 5 hrs and 56 mins
Starting Line,Crea Reitan,Length: 9 hrs and 38 mins
A Court of Mist and Fury,Sarah J. Maas,Length: 23 hrs and 16 mins
Just This Once,Lena Hendrix,Length: 10 hrs and 3 mins
A Fatal Inheritance,Lawrence Ingrassia,Length: 9 hrs and 25 mins
Rich Dad Poor Dad: 20th Anniversary Edition,Robert T. Kiyosaki,Length: 8 hrs and 22 mins
Murder at the Mansions,Sara Rosett,Length: 6 hrs and 37 mins
The Chaos Agent,Mark Greaney,Length: 17 hrs and 34 mins
Murder in the Alps,Sara Rosett,Length: 7 hrs and 16 mins
Warring Insanity,KamikazePotato,Length: 23 hrs and 8 mins
"Heretical Fishing, Book 1",Haylock Jobson,Length: 23 hrs and 56 mins
Thorns of Silence,Eva Winners,Length: 13 hrs and 15 mins
Dead Meat,Nick Clausen,Length: 38 hrs and 9 mins
Queen of the Night,N Owens,Length: 7 hrs and 25 mins
"The Word of Promise Audio Bible—New King James Version, NKJV: Complete Bible",Thomas Nelson Inc.,Length: 98 hrs and 1 min
The Assassin's Blade,Sarah J. Maas,Length: 12 hrs and 52 mins
"Days of Want Series, Books 1-7",T. L. Payne,Length: 43 hrs and 42 mins
Targeted,Kathleen Brooks,Length: 7 hrs and 20 mins
The Accidental Dating Experiment,Lauren Blakely,Length: 6 hrs and 55 mins
The Fiery Cross,Diana Gabaldon,Length: 55 hrs and 30 mins
For the Fans,Nyla K,Length: 22 hrs and 39 mins
The Last Survivors Box Set,"Bobby Adair,T.W. Piperbrook",Length: 50 hrs and 24 mins
Working for the CEO,Emily Hayes,Length: 3 hrs and 14 mins
Twisted Souls,Ashlee M. Edmonds,Length: 4 hrs and 59 mins
Mad Love,Wendy Walker,Length: 4 hrs and 11 mins
The Third Law of Cultivation,KrazeKode,Length: 13 hrs and 15 mins
12 Rules for Life,"Jordan B. Peterson,Norman Doidge MD",Length: 15 hrs and 40 mins
He Who Fights with Monsters 4,"Shirtaloon,Travis Deverell",Length: 22 hrs and 20 mins
The Stand,Stephen King,Length: 47 hrs and 47 mins
The Two Towers,J. R. R. Tolkien,Length: 16 hrs and 40 mins
Natural Soap Making,Jeffrey Carter,Length: 2 hrs and 49 mins
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Length: 26 hrs and 28 mins
"Harry Potter and the Deathly Hallows, Book 7",J.K. Rowling,Length: 21 hrs and 36 mins
Daddy's Addiction,BJ Alpha,Length: 4 hrs and 28 mins
The Taken,Brett Battles,Length: 9 hrs and 46 mins
"Mushoku Tensei: Jobless Reincarnation, Vol. 16",Rifujin na Magonote,Length: 8 hrs and 39 mins
Evolving While Black,Chianti Lomax,Length: 6 hrs and 40 mins
A Black Girl in the Middle,Shenequa Golding,Length: 5 hrs and 54 mins
I'm Not the Hero: An Isekai LitRPG,SourpatchHero,Length: 17 hrs and 34 mins
The Mercy of Gods,James S.A. Corey,Length: 18 hrs and 30 mins
Da Big Dakka,Mike Brooks,Length: 9 hrs and 25 mins
The Total Money Makeover Updated and Expanded,Dave Ramsey,Length: 7 hrs and 50 mins
The Eye of the Bedlam Bride,Matt Dinniman,Length: 26 hrs and 46 mins
The Complete Dark Days Series,Ryan Schow,Length: 38 hrs and 55 mins
The Object,Joshua T. Calvert,Length: 11 hrs and 58 mins
House of Flame and Shadow,Sarah J. Maas,Length: 29 hrs and 42 mins
On the Same Page,Haley Cass,Length: 16 hrs and 18 mins
His Darkest Desire,Tiffany Roberts,Length: 16 hrs and 35 mins
Department of Dungeon Studies,J Pal,Length: 18 hrs and 57 mins
A Court of Wings and Ruin (Part 3 of 3) (Dramatized Adaptation),Sarah J. Maas,Length: 6 hrs
Last Dance,Sheldon Siegel,Length: 6 hrs and 24 mins
Explicit Erotic Short Stories,Madden Ferrari,Length: 10 hrs and 49 mins
Gideon Bean,Gwen DeMarco,Length: 6 hrs and 49 mins
Heretics of Dune,Frank Herbert,Length: 18 hrs and 4 mins
Want You Still,"CE Ricci,Marley Valentine",Length: 8 hrs and 58 mins
Surviving the End: Six Book Boxset,Grace Hamilton,Length: 51 hrs and 19 mins
Not Till We Are Lost,Dennis E. Taylor,Length: 11 hrs and 41 mins
A Court of Wings and Ruin (1 of 3) [Dramatized Adaptation],Sarah J. Maas,Length: 6 hrs and 11 mins
The Housemaid,Freida McFadden,Length: 9 hrs and 46 mins
Carl's Doomsday Scenario,Matt Dinniman,Length: 11 hrs and 28 mins
The Castleton Affair,Benedict Brown,Length: 8 hrs and 36 mins
Johnny Carson,Henry Bushkin,Length: 10 hrs and 8 mins
Does It Hurt?,H. D. Carlton,Length: 12 hrs and 7 mins
Smoke Bomb,Abbi Glines,Length: 7 hrs and 33 mins
Iron Flame,Rebecca Yarros,Length: 28 hrs and 16 mins
A Court of Silver Flames (2 of 2) (Dramatized Adaptation),Sarah J. Maas,Length: 10 hrs and 33 mins
Maybe This Time,Cara Bastone,Length: 5 hrs and 45 mins
A Dance with Dragons,George R.R. Martin,Length: 48 hrs and 55 mins
ADHD Is Awesome,"Penn Holderness,Kim Holderness,Edward Hallowell - foreword",Length: 8 hrs and 50 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
Cherish,Tracy Wolff,Length: 17 hrs and 25 mins
Hell Divers III: Deliverance,Nicholas Sansbury Smith,Length: 11 hrs and 18 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
Eve of Redemption: Books 1-6,Joe Jackson,Length: 90 hrs and 33 mins
Where's Molly,H. D. Carlton,Length: 5 hrs and 58 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
America Falls Collection 1: Books 1-6,Scott Medbury,Length: 33 hrs and 15 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
Endfall,David Estes,Length: 46 hrs and 19 mins
Fox,DJ Krimmer,Length: 11 hrs and 28 mins
Dietrich,Don Winslow,Length: 1 hr and 11 mins
The Ascent,Adam Plantinga,Length: 10 hrs and 44 mins
Undeniably Convenient,"J. Saman,Julie Saman",Length: 10 hrs and 20 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
The Struggle for Taiwan,Sulmaan Wasif Khan,Length: 8 hrs and 34 mins
Home Is Where the Bodies Are,Jeneva Rose,Length: 8 hrs and 27 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
Light Bringer,Pierce Brown,Length: 30 hrs and 8 mins
Savage Awakening,Adastra339,Length: 23 hrs and 15 mins
Demon Copperhead,Barbara Kingsolver,Length: 21 hrs and 3 mins
Cherish,Tracy Wolff,Length: 17 hrs and 25 mins
Hell Divers III: Deliverance,Nicholas Sansbury Smith,Length: 11 hrs and 18 mins
Outlive,"Peter Attia MD,Bill Gifford - contributor",Length: 17 hrs and 7 mins
Eve of Redemption: Books 1-6,Joe Jackson,Length: 90 hrs and 33 mins
Where's Molly,H. D. Carlton,Length: 5 hrs and 58 mins
The Nightingale,Kristin Hannah,Length: 17 hrs and 19 mins
America Falls Collection 1: Books 1-6,Scott Medbury,Length: 33 hrs and 15 mins
He Who Fights with Monsters 2,"Shirtaloon,Travis Deverell",Length: 22 hrs and 1 min
Endfall,David Estes,Length: 46 hrs and 19 mins
Fox,DJ Krimmer,Length: 11 hrs and 28 mins
Dietrich,Don Winslow,Length: 1 hr and 11 mins
The Ascent,Adam Plantinga,Length: 10 hrs and 44 mins
Undeniably Convenient,"J. Saman,Julie Saman",Length: 10 hrs and 20 mins
The Final Empire,Brandon Sanderson,Length: 24 hrs and 39 mins
The Struggle for Taiwan,Sulmaan Wasif Khan,Length: 8 hrs and 34 mins
Home Is Where the Bodies Are,Jeneva Rose,Length: 8 hrs and 27 mins
Torrent Witches Cozy Mysteries Complete Box Set: Books 1-10,Tess Lake,Length: 65 hrs and 31 mins
Light Bringer,Pierce Brown,Length: 30 hrs and 8 mins
Savage Awakening,Adastra339,Length: 23 hrs and 15 mins
